data,hora,taxa
2024/10/21,18:45:03,10.406224392340397
2024/10/21,18:45:04,11.130510261056346
2024/10/21,18:45:05,10.800381113946361
2024/10/21,18:45:06,10.711646506554269
2024/10/21,18:45:07,11.149490287933112
2024/10/21,18:45:08,10.93787931998485
2024/10/21,18:45:09,10.815627509408838
2024/10/21,18:45:10,10.693031237415399
2024/10/21,18:45:11,10.859397540270791
2024/10/21,18:45:12,10.341192725616343
2024/10/21,18:47:59,10.488087409034781
2024/10/21,18:48:00,10.688346232591712
2024/10/21,18:48:01,10.360794431457558
2024/10/21,18:48:02,10.791836376450977
2024/10/21,18:48:03,10.450196570409618
2024/10/21,18:48:04,10.216266776362767
2024/10/21,18:48:05,10.612731804504978
2024/10/21,18:48:06,10.917276933370474
2024/10/21,18:48:07,10.491830497959963
2024/10/21,18:48:08,10.700914182375348
